Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
TNHC-GDC 2025	TNHC:Herpetology:2025	JSF 999	KU 194491	T2025_PAC	NA	México	Jalisco	19.74643	-103.182942	Yes	PACMX
TNHC-GDC 2057	TNHC:Herpetology:2057	JSF 1063	KU 194442	T2057_Rchi_OUT	R. fisheri	México	Durango	NA	NA	Yes	NA
TNHC-GDC 2059	TNHC:Herpetology:2059	JSF 1065	KU 194581	T2059_Rfor_PAC	R. forreri	México	Sinaloa	22.55783	-105.7435	Yes	forreri, PACMX
TNHC-GDC 2068	TNHC:Herpetology:2068	JSF 1016	KU 194527	T2068_Rdun_CMX	R. dunni	México	Michoacán	NA	NA	Yes	NA
TNHC-GDC 2072	TNHC:Herpetology:2072	JSF 1073	KU 194592	T2072_Rmag_CMX	R. magnaocularis	México	Sonora	28.236482	-109.312929	Yes	PACMX
TNHC-GDC 208	TNHC:Herpetology:208	JAC 8658	KU 195335	T208_CMX	R. berlandieri	México	Puebla	20.190511	-98.042111	Yes	ATL_MXPL
TNHC-GDC 209	TNHC:Herpetology:209	JAC 8659	KU 195336	T209_CMX	R. berlandieri	México	Puebla	20.190511	-98.042111	Yes	ATL_MXPL
TNHC-GDC 2092	TNHC:Herpetology:2092	JSF 1081	KU 194434	T2092_xochi_CMX	NA	México	D.F.	19.262363	-99.104588	No	ATL_MXPL
TNHC-GDC 2099	TNHC:Herpetology:2099	JSF 898	KU 194439	T2099_Rmon_CMX	R. montezumae	México	D.F.	NA	NA	Yes	NA
TNHC-GDC 210	TNHC:Herpetology:210	JAC 8760	KU 195337	T210_Atoy_CMX	R. berlandieri	México	Puebla	19.851306	-97.490625	Yes	ATL_MXPL
TNHC-GDC 2103	TNHC:Herpetology:2103	JSF 960	N/A	T2103_CMX	R. neovolcanica	México	Michoacán	19.696476	-101.007809	Yes	ATL_MXPL
TNHC-GDC 211	TNHC:Herpetology:211	JAC 8835	KU 195255	T211_Rspe_CMX	NA	México	Morelos	19.049633	-99.31346	Yes	ATL_MXPL
TNHC-GDC 24735	TNHC:Herpetology:24735	JAC 20973	UTA A-53262	T24735_LCA	R. macroglossa	Guatemala	Peten	17.08222222	-89.68555556	Yes	CENTAM
TNHC-GDC 24737	TNHC:Herpetology:24737	JAC 21096	UTA A-53271	T24737_LCA	R. macroglossa	Guatemala	Peten	17.00611111	-89.70833333	Yes	CENTAM
TNHC-GDC 24740	TNHC:Herpetology:24740	JAC 21027	UTA A-53266	T24740_LCA	R. macroglossa	Guatemala	Peten	17.08222222	-89.68555556	Yes	CENTAM
TNHC-GDC 24741	TNHC:Herpetology:24741	JAC 20986	UTA A-53263	T24741_LCA	R. macroglossa	Guatemala	Peten	17.00138889	-89.72444444	Yes	CENTAM
TNHC-GDC 24745	TNHC:Herpetology:24745	JAC 21097	UTA A-53272	T24745_LCA	R. macroglossa	Guatemala	Peten	17.00611111	-89.70833333	Yes	CENTAM
TNHC-GDC 24746	TNHC:Herpetology:24746	JAC 21026	UTA A-53265	T24746_LCA	R. macroglossa	Guatemala	Peten	17.08222222	-89.68555556	Yes	CENTAM
TNHC-GDC 24978	TNHC:Herpetology:24978	JAC 9337	KU 195257	T24978_PAC	NA	México	Oaxaca	16.374811	-94.206688	No	PACMX
TNHC-GDC 24985	TNHC:Herpetology:24985	JAC 8836	KU 195251	T24985_Rmon_RJO	R. montezumae	México	Morelos	NA	NA	Yes	NA
TNHC-GDC 2757	TNHC:Herpetology:2757	DAG 3268	N/A	T2757_LCA	NA	Costa Rica	Guanacaste	10.93333	-85.45	No	CENTAM
TNHC-GDC 281	TNHC:Herpetology:281	JAC 10213	KU 200803	T281_PiedBl_CMX	R. berlandieri	México	Hidalgo	20.59612	-98.62487	Yes	ATL_MXPL
TNHC-GDC 282	TNHC:Herpetology:282	JAC 9468	KU 195347	T282_Atoy_CMX	NA	México	Puebla	18.388683	-98.304836	Yes	PACMX
TNHC-GDC 283	TNHC:Herpetology:283	JAC 9469	KU 195348	T283_Atoy_CMX	NA	México	Puebla	18.388683	-98.304836	Yes	PACMX
TNHC-GDC 290	TNHC:Herpetology:290	JAC 9467	KU 195346	T290_Atoy_CMX	NA	México	Puebla	18.388683	-98.304836	Yes	PACMX
TNHC-GDC 294	TNHC:Herpetology:294	JAC 10203	KU 200771	T294_Rber_CMX	R. berlandieri	México	Hidalgo	21.164201	-98.560002	Yes	ATL_MXPL
TNHC-GDC 3039	TNHC:Herpetology:3039	DCC 1947	MVZ 203922	T3039_LCA	NA	Costa Rica	Cartago	9.767355	-83.801354	Yes	CENTAM
TNHC-GDC 3040	TNHC:Herpetology:3040	DCC 1967	MVZ?	T3040_LCA	NA	Costa Rica	Cartago	9.767355	-83.801354	Yes	CENTAM
TNHC-GDC 3041	TNHC:Herpetology:3041	DCC 2025	MVZ?	T3041_LCA	NA	Costa Rica	Cartago	9.767355	-83.801354	Yes	CENTAM
TNHC-GDC 3042	TNHC:Herpetology:3042	DCC 2043	MVZ 203926	T3042_LCA	R. forreri	Costa Rica	Guanacaste	10.535548	-85.585251	Yes	forreri, CENTAM
TNHC-GDC 3043	TNHC:Herpetology:3043	DCC 2044	N/A	T3043_LCA	R. forreri	Costa Rica	Guanacaste	10.530324	-85.62654	Yes	forreri, CENTAM
TNHC-GDC 3405	TNHC:Herpetology:3405	JSF 1082	KU 194435	T3405_xochi_CMX	NA	México	D.F.	19.262363	-99.104588	Yes	ATL_MXPL
TNHC-GDC 3425	TNHC:Herpetology:3425	JSF 1006	KU 194538	T3425_Rneo_CMX	R. neovolcanica	México	Michoacán	NA	NA	Yes	NA
TNHC-GDC 3430	TNHC:Herpetology:3430	JSF 1054	KU 194431	T3430_PAC	R. forreri	México	Colima	19.173905	-103.829438	Yes	forreri, PACMX
TNHC-GDC 3437	TNHC:Herpetology:3437	JSF 1052	KU 194429	T3437_PAC	R. forreri	México	Jalisco	19.450387	-103.481305	Yes	forreri, PACMX
TNHC-GDC 3447	TNHC:Herpetology:3447	JSF 1086	KU 194424	T3447_yava_OUT	NA	USA	Arizona	33.283994	-109.267429	Yes	PACMX
TNHC-GDC 3449	TNHC:Herpetology:3449	JSF 1088	KU 194426	T3449_yava_OUT	NA	USA	Arizona	33.283994	-109.267429	Yes	PACMX
TNHC-GDC 351	TNHC:Herpetology:351	JAC 10439	KU 200780	T351_Rspe_CMX	NA	México	Oaxaca	16.955855	-96.399318	Yes	ATL_MXPL, PACMX
TNHC-GDC 3544	TNHC:Herpetology:3544	DMH 86-249	LACM 165395	T3544_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3545	TNHC:Herpetology:3545	DMH 86-252	LACM 165388	T3545_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3548	TNHC:Herpetology:3548	DMH 86-250	LACM 165398	T3548_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	No	CENTAM
TNHC-GDC 3549	TNHC:Herpetology:3549	DMH 86-131	LACM?	T3549_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3552	TNHC:Herpetology:3552	DMH 86-132	LACM?	T3552_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3553	TNHC:Herpetology:3553	DMH 86-130	LACM?	T3553_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	No	CENTAM
TNHC-GDC 3554	TNHC:Herpetology:3554	DMH 86-133	LACM?	T3554_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3555	TNHC:Herpetology:3555	DMH 86-219	LACM 146767	T3555_LCA	NA	Costa Rica	Heredia	10.06703	-84.08045	Yes	CENTAM
TNHC-GDC 3557	TNHC:Herpetology:3557	DMH 86-244	LACM 165399	T3557_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3561	TNHC:Herpetology:3561	DMH 86-139	LACM?	T3561_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3562	TNHC:Herpetology:3562	DMH 86-205	LACM?	T3562_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3565	TNHC:Herpetology:3565	DMH 86-210	LACM 146764	T3565_LCA	NA	Costa Rica	Heredia	10.06703	-84.08045	Yes	CENTAM
TNHC-GDC 3568	TNHC:Herpetology:3568	DMH 86-137	LACM?	T3568_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3571	TNHC:Herpetology:3571	DMH 86-209	LACM 146763	T3571_LCA	NA	Costa Rica	Heredia	10.06703	-84.08045	Yes	CENTAM
TNHC-GDC 3572	TNHC:Herpetology:3572	DMH 86-135	LACM?	T3572_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3576	TNHC:Herpetology:3576	DMH 86-245	LACM 165392	T3576_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3577	TNHC:Herpetology:3577	DMH 86-226	LACM 165390	T3577_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3585	TNHC:Herpetology:3585	DMH 86-136	LACM?	T3585_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	No	CENTAM
TNHC-GDC 3586	TNHC:Herpetology:3586	DMH 86-129	LACM?	T3586_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3588	TNHC:Herpetology:3588	DMH 86-246	LACM 165391	T3588_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3591	TNHC:Herpetology:3591	DMH 86-204	LACM?	T3591_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3592	TNHC:Herpetology:3592	DMH 86-134	LACM?	T3592_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	No	CENTAM
TNHC-GDC 3593	TNHC:Herpetology:3593	DMH 86-218	LACM 146766	T3593_LCA	NA	Costa Rica	Heredia	10.06703	-84.08045	No	CENTAM
TNHC-GDC 3594	TNHC:Herpetology:3594	DMH 86-202	LACM 165407	T3594_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	No	CENTAM
TNHC-GDC 3595	TNHC:Herpetology:3595	DMH 86-138	LACM?	T3595_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	No	CENTAM
TNHC-GDC 3600	TNHC:Herpetology:3600	DMH 86-211	LACM 146765	T3600_LCA	NA	Costa Rica	Heredia	10.06703	-84.08045	Yes	CENTAM
TNHC-GDC 3601	TNHC:Herpetology:3601	DMH 86-203	LACM?	T3601_LCA	NA	Costa Rica	Cartago	9.694755	-83.926295	Yes	CENTAM
TNHC-GDC 3605	TNHC:Herpetology:3605	JAC 7819	KU 195319	T3605_Llano_PAC	NA	México	Oaxaca	NA	NA	No	PACMX
TNHC-GDC 3611	TNHC:Herpetology:3611	JAC 9200	KU 195324	T3611_PAC	R. macroglossa	México	Oaxaca	15.913195	-95.803754	Yes	PACMX
TNHC-GDC 3616	TNHC:Herpetology:3616	JAC 9199	KU 195323	T3616_PAC	R. macroglossa	México	Oaxaca	15.913195	-95.803754	Yes	PACMX
TNHC-GDC 3618	TNHC:Herpetology:3618	JAC 9229	KU 195328	T3618_PAC	R. macroglossa	México	Oaxaca	16.607234	-94.197402	Yes	PACMX
TNHC-GDC 3624	TNHC:Herpetology:3624	JAC 9197	KU 195321	T3624_PAC	NA	México	Oaxaca	15.913195	-95.803754	No	PACMX
TNHC-GDC 3629	TNHC:Herpetology:3629	JAC 8070	KU 195167	T3629_PAC	R. macroglossa	México	Chiapas	16.771725	-93.05368	Yes	PACMX
TNHC-GDC 3649	TNHC:Herpetology:3649	N/A	AMNH A-124167	T3649_LCA	NA	Panamá	NA	8.706815	-82.624437	Yes	CENTAM
TNHC-GDC 3651	TNHC:Herpetology:3651	JAC 10471	UTA A-17184	T3651_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3652	TNHC:Herpetology:3652	JAC 10472	UTA A-17185	T3652_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3653	TNHC:Herpetology:3653	JAC 10470	UTA A-17183	T3653_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3654	TNHC:Herpetology:3654	JAC 10469	UTA A-17182	T3654_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3655	TNHC:Herpetology:3655	JAC 10468	UTA A-17181	T3655_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3656	TNHC:Herpetology:3656	JAC 10467	UTA A-17180	T3656_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3657	TNHC:Herpetology:3657	JAC 10466	UTA A-17179	T3657_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3658	TNHC:Herpetology:3658	JAC 10465	UTA A-17178	T3658_LCA	R. macroglossa	Guatemala	Solola	14.733506	-91.155807	Yes	CENTAM
TNHC-GDC 3661	TNHC:Herpetology:3661	JAC 9231	KU 195330	T3661_PAC	R. macroglossa	México	Oaxaca	16.607234	-94.197402	Yes	PACMX
TNHC-GDC 3662	TNHC:Herpetology:3662	JAC 9230	KU 195329	T3662_PAC	NA	México	Oaxaca	16.607234	-94.197402	No	PACMX
TNHC-GDC 3663	TNHC:Herpetology:3663	JAC 9371	KU 195177	T3663_PAC	R. macroglossa	México	Chiapas	16.16675	-92.100597	Yes	ATL_MXPL, PACMX
TNHC-GDC 3670	TNHC:Herpetology:3670	JAC 9228	KU 195327	T3670_PAC	R. macroglossa	México	Oaxaca	16.607234	-94.197402	Yes	PACMX
TNHC-GDC 3676	TNHC:Herpetology:3676	JAC 8065	KU 195166	T3676_PAC	NA	México	Chiapas	16.16675	-92.100597	No	PACMX
TNHC-GDC 3678	TNHC:Herpetology:3678	JAC 8049	KU 195160	T3678_CMX	R. macroglossa	México	Chiapas	16.76025	-92.943501	Yes	PACMX
TNHC-GDC 3681	TNHC:Herpetology:3681	JAC 8050	KU 195161	T3681_CMX	R. macroglossa	México	Chiapas	16.76025	-92.943501	No	PACMX
TNHC-GDC 3683	TNHC:Herpetology:3683	JAC 7939	KU 195144	T3683_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 3686	TNHC:Herpetology:3686	JAC 7935	KU 195140	T3686_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 3688	TNHC:Herpetology:3688	JAC 7940	KU 195145	T3688_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 3689	TNHC:Herpetology:3689	JAC 7936	KU 195141	T3689_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 3691	TNHC:Herpetology:3691	JAC 7937	KU 195142	T3691_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	No	ATL_MXPL, PACMX
TNHC-GDC 3693	TNHC:Herpetology:3693	JAC 7941	KU 195146	T3693_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 3695	TNHC:Herpetology:3695	JAC 7934	KU 195139	T3695_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	No	ATL_MXPL, PACMX
TNHC-GDC 3698	TNHC:Herpetology:3698	JAC 7942	KU 195147	T3698_PAC	R. macroglossa	México	Chiapas	16.680533	-92.59599	Yes	ATL_MXPL, PACMX
TNHC-GDC 3703	TNHC:Herpetology:3703	DMH 86-251	LACM 165389	T3703_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3715	TNHC:Herpetology:3715	DMH 86-225	LACM 146810	T3715_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3743	TNHC:Herpetology:3743	DMH 86-247	LACM 165396	T3743_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3762	TNHC:Herpetology:3762	DMH 86-248	LACM 165394	T3762_LCA	NA	Costa Rica	Puntarenas	9.959587	-84.736905	Yes	forreri, CENTAM
TNHC-GDC 3776	TNHC:Herpetology:3776	JAC 8051	KU 195162	T3776_CMX	R. macroglossa	México	Chiapas	16.76025	-92.943501	Yes	PACMX
TNHC-GDC 3778	TNHC:Herpetology:3778	JAC 9196	KU 195320	T3778_PAC	R. macroglossa	México	Oaxaca	15.913195	-95.803754	Yes	PACMX
TNHC-GDC 3782	TNHC:Herpetology:3782	JAC 9198	KU 195322	T3782_PAC	R. macroglossa	México	Oaxaca	15.913195	-95.803754	Yes	PACMX
TNHC-GDC 3786	TNHC:Herpetology:3786	JAC 9368	KU 195174	T3786_PAC	R. macroglossa	México	Chiapas	16.16675	-92.100597	Yes	ATL_MXPL, PACMX
TNHC-GDC 3791	TNHC:Herpetology:3791	JAC 9355	KU 195170	T3791_CMX	R. macroglossa	México	Chiapas	16.509459	-92.366439	No	ATL_MXPL, PACMX
TNHC-GDC 3800	TNHC:Herpetology:3800	JAC 9356	KU 195171	T3800_CMX	R. macroglossa	México	Chiapas	16.509459	-92.366439	Yes	ATL_MXPL, PACMX
TNHC-GDC 3805	TNHC:Herpetology:3805	JAC 9353	KU 195168	T3805_CMX	R. macroglossa	México	Chiapas	16.509459	-92.366439	Yes	ATL_MXPL, PACMX
TNHC-GDC 3807	TNHC:Herpetology:3807	JAC 9357	KU 195172	T3807_CMX	R. macroglossa	México	Chiapas	16.509459	-92.366439	No	ATL_MXPL, PACMX
TNHC-GDC 3809	TNHC:Herpetology:3809	JAC 9369	KU 195175	T3809_PAC	R. macroglossa	México	Chiapas	16.16675	-92.100597	Yes	ATL_MXPL, PACMX
TNHC-GDC 3935	TNHC:Herpetology:3935	JAC 8635	KU 195199	T3935_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	No	ATL_MXPL
TNHC-GDC 401	TNHC:Herpetology:401	DMH 84-6	KU 200826	T401_Rber_CMX	R. berlandieri	México	Tamaulipas	24.996396	-98.55895	Yes	ATL_MXPL
TNHC-GDC 402	TNHC:Herpetology:402	DMH 84-7	KU 200827	T402_Rber_CMX	R. berlandieri	México	Tamaulipas	24.996396	-98.55895	Yes	ATL_MXPL
TNHC-GDC 4029	TNHC:Herpetology:4029	JSF 1053	KU 194430	T4029_bals_PAC	R. forreri	México	Colima	19.173905	-103.829438	Yes	forreri, PACMX
TNHC-GDC 403	TNHC:Herpetology:403	DMH 84-9	KU 200825	T403_Rber_CMX	R. macroglossa	México	Veracruz	18.801441	-96.680664	Yes	ATL_MXPL, PACMX
TNHC-GDC 414	TNHC:Herpetology:414	DMH 84-27	KU 200817	T414_RTex_CMX	R. berlandieri	México	Puebla	20.193496	-98.034982	Yes	ATL_MXPL
TNHC-GDC 416	TNHC:Herpetology:416	DMH 84-40	not at KU	T416_RTex_CMX	NA	México	Puebla	20.193496	-98.034982	No	ATL_MXPL, PACMX
TNHC-GDC 417	TNHC:Herpetology:417	DMH 84-44	not at KU	T417_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 418	TNHC:Herpetology:418	DMH 84-45	not at KU	T418_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 419	TNHC:Herpetology:419	DMH 84-46	not at KU	T419_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 423	TNHC:Herpetology:423	DMH 84-52	KU 200821	T423_Rber_CMX	R. berlandieri	México	San Luis Potosí	21.296867	-98.82184	Yes	ATL_MXPL
TNHC-GDC 424	TNHC:Herpetology:424	DMH 84-56	KU 200822	T424_Rber_CMX	R. berlandieri	México	San Luis Potosí	21.352499	-98.835198	Yes	ATL_MXPL
TNHC-GDC 425	TNHC:Herpetology:425	DMH 84-57	KU 200823	T425_Rber_CMX	R. berlandieri	México	San Luis Potosí	21.354932	-98.840718	Yes	ATL_MXPL
TNHC-GDC 426	TNHC:Herpetology:426	DMH 84-77	KU 200824	T426_Rber_CMX	R. berlandieri	México	San Luis Potosí	21.655446	-99.527782	Yes	ATL_MXPL
TNHC-GDC 467	TNHC:Herpetology:467	JAC 10492	UTA A-17188	T467_Rspe_CMX	NA	México	Oaxaca	16.955855	-96.399318	Yes	ATL_MXPL, PACMX
TNHC-GDC 468	TNHC:Herpetology:468	JAC 8837	KU 195252	T468_Rmon_RJO	R. montezumae	México	Morelos	NA	NA	Yes	NA
TNHC-GDC 472	TNHC:Herpetology:472	JAC 10532	KU 200784	T472_Rneo_CMX	R. neovolcanica	México	Jalisco	19.970442	-103.766837	Yes	ATL_MXPL
TNHC-GDC 483	TNHC:Herpetology:483	JAC 10202	KU 200770	T483_Rber_CMX	R. berlandieri	México	Hidalgo	21.164201	-98.560002	Yes	ATL_MXPL
TNHC-GDC 486	TNHC:Herpetology:486	JAC 10493	UTA A-17189	T486_Rspe_CMX	NA	México	Oaxaca	16.955855	-96.399318	Yes	ATL_MXPL, PACMX
TNHC-GDC 501	TNHC:Herpetology:501	JAC 10531	KU 200783	T501_Rneo_CMX	R. neovolcanica	México	Jalisco	19.970442	-103.766837	Yes	ATL_MXPL
TNHC-GDC 513	TNHC:Herpetology:513	JAC 7412	KU 195178	T513_Romi_CMX	R. omiltemana	México	Guerrero	17.522928	-99.472544	Yes	PACMX
TNHC-GDC 523	TNHC:Herpetology:523	JAC 10533	KU 200785	T523_Rneo_CMX	R. neovolcanica	México	Jalisco	19.970442	-103.766837	Yes	ATL_MXPL
TNHC-GDC 528	TNHC:Herpetology:528	JAC 10438	KU 200779	T528_Rspe_CMX	NA	México	Oaxaca	16.955855	-96.399318	Yes	ATL_MXPL, PACMX
TNHC-GDC 529	TNHC:Herpetology:529	JAC 8622	KU 195186	T529_Rspe_CMX	NA	México	Hidalgo	20.163104	-98.755562	Yes	ATL_MXPL
TNHC-GDC 534	TNHC:Herpetology:534	JAC 10529	KU 200781	T534_Rneo_CMX	R. neovolcanica	México	Jalisco	19.970442	-103.766837	Yes	ATL_MXPL
TNHC-GDC 537	TNHC:Herpetology:537	JAC 10491	UTA A-17187	T537_Rspe_CMX	NA	México	Oaxaca	16.955855	-96.399318	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33495	TNHC-FS 7101	N/A	TF7101_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33496	TNHC-FS 7102	N/A	TF7102_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33497	TNHC-FS 7103	N/A	TF7103_Rspe_CMX	NA	México	Oaxaca	16.52285	-96.98006	Yes	ATL_MXPL, PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33500	TNHC-FS 7106	N/A	TF7106_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	NA	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33501	TNHC-FS 7107	N/A	TF7107_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	NA	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33502	TNHC-FS 7108	N/A	TF7108_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33503	TNHC-FS 7109	N/A	TF7109_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33504	TNHC-FS 7110	N/A	TF7110_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33505	TNHC-FS 7111	N/A	TF7111_Rzwe_RJO	NA	México	Oaxaca	NA	NA	NA	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33506	TNHC-FS 7112	N/A	TF7112_Rzwe_RJO	NA	México	Oaxaca	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33507	TNHC-FS 7113	N/A	TF7113_Rzwe_RJO	NA	México	Oaxaca	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33508	TNHC-FS 7114	N/A	TF7114_Rzwe_RJO	NA	México	Oaxaca	NA	NA	NA	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33514	TNHC-FS 7120	N/A	TF7120_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33515	TNHC-FS 7121	N/A	TF7121_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33516	TNHC-FS 7122	N/A	TF7122_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33517	TNHC-FS 7123	N/A	TF7123_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33518	TNHC-FS 7124	N/A	TF7124_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33519	TNHC-FS 7125	N/A	TF7125_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33520	TNHC-FS 7126	N/A	TF7126_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33521	TNHC-FS 7127	N/A	TF7127_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33522	TNHC-FS 7128	N/A	TF7128_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33523	TNHC-FS 7129	N/A	TF7129_Rfor_PAC	R. omiltemana	México	Oaxaca	16.36572	-97.08813	Yes	PACMX
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33524	TNHC-FS 7130	N/A	TF7130_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	Yes	NA
FC-UNAM:MZFC-HE:	FC-UNAM:MZFC-HE:33525	TNHC-FS 7131	N/A	TF7131_Rsie_RJO	R. sierramadrensis	México	Oaxaca	NA	NA	Yes	NA
