Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
N/A	N/A	JHT 3828	N/A	JHT3828_LCA	R. macroglossa	Honduras	Intibucá	14.47978	-88.305521	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 3829	N/A	JHT3829_LCA	R. macroglossa	Honduras	Intibucá	14.47978	-88.305521	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 3830	N/A	JHT3830_LCA	R. macroglossa	Honduras	Intibucá	14.47978	-88.305521	Yes	ATL_MXPL, CENTAM
N/A	N/A	JHT 4090	N/A	JHT4090_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4091	N/A	JHT4091_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4092	N/A	JHT4092_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4093	N/A	JHT4093_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4094	N/A	JHT4094_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4095	N/A	JHT4095_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4096	N/A	JHT4096_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4097	N/A	JHT4097_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4098	N/A	JHT4098_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4099	N/A	JHT4099_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4100	N/A	JHT4100_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4102	N/A	JHT4102_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4103	N/A	JHT4103_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	No	CENTAM
N/A	N/A	JHT 4104	N/A	JHT4104_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	No	CENTAM
N/A	N/A	JHT 4105	N/A	JHT4105_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4106	N/A	JHT4106_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4107	N/A	JHT4107_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4108	N/A	JHT4108_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	No	CENTAM
N/A	N/A	JHT 4110	N/A	JHT4110_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4111	N/A	JHT4111_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4113	N/A	JHT4113_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4114	N/A	JHT4114_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4115	N/A	JHT4115_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4118	N/A	JHT4118_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	No	CENTAM
N/A	N/A	JHT 4119	N/A	JHT4119_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4120	N/A	JHT4120_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4122	N/A	JHT4122_LCA	NA	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4124	N/A	JHT4124_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	Yes	CENTAM
N/A	N/A	JHT 4125	N/A	JHT4125_LCA	R. lenca	Honduras	El Paraiso	13.935591	-86.871249	No	CENTAM
N/A	N/A	KEN 177	N/A	KEN177_LCA	NA	Nicaragua	Jinotega	13.15785	-85.87355	Yes	ATL_MXPL, CENTAM
N/A	N/A	KEN 589	N/A	KEN589_LCA	R. forreri miadis	Nicaragua	Región Autónoma del Atlántico Sur	12.28544	-82.97516	No	CENTAM
N/A	N/A	KEN 590	N/A	KEN590_LCA	R. forreri miadis	Nicaragua	Región Autónoma del Atlántico Sur	12.28544	-82.97517	Yes	forreri, CENTAM
N/A	N/A	KEN 591	N/A	KEN591_LCA	R. forreri miadis	Nicaragua	Región Autónoma del Atlántico Sur	12.28544	-82.97518	Yes	forreri, CENTAM
N/A	N/A	KEN 592	N/A	KEN592_LCA	R. forreri miadis	Nicaragua	Región Autónoma del Atlántico Sur	12.28544	-82.97519	Yes	forreri, CENTAM
N/A	N/A	LK 002	N/A	LK2_LCA	R. macroglossa	Honduras	Santa Bárbara	14.99996	-89.083348	Yes	ATL_MXPL, CENTAM
N/A	N/A	MG 66	N/A	MG66_LCA	R. macroglossa	Honduras	Cortés	15.209118	-87.506361	No	ATL_MXPL, CENTAM
MVZ 143381	MVZ:Herp:143381	HBS 1213	N/A	MVZ143381_LCA	R. macroglossa	Guatemala	Huehuetenango	15.798792	-91.32012	Yes	ATL_MXPL, CENTAM
MVZ 145471	MVZ:Herp:145471	N/A	N/A	MVZ145471_LCA	NA	Costa Rica	San Jose	9.83093	-83.95333	Yes	CENTAM
MVZ 145484	MVZ:Herp:145484	HBS 895	N/A	MVZ145484_LCA	NA	Costa Rica	San Jose	9.83093	-83.95333	No	CENTAM
MVZ 149013	MVZ:Herp:149013	N/A	N/A	MVZ149013_LCA	NA	Costa Rica	Guanacaste	10.39609	-85.17921	No	forreri, CENTAM
MVZ 150254	MVZ:Herp:150254	8142	N/A	MVZ150254_LCA	NA	Costa Rica	San Jose	9.73333	-83.95	Yes	CENTAM
MVZ 175967	MVZ:Herp:175967	N/A	N/A	MVZ175967_LCA	NA	Costa Rica	Guanacaste	10.39609	-85.17921	Yes	forreri, CENTAM
MVZ 203928	MVZ:Herp:203928	T-130	N/A	MVZ203928_LCA	NA	Costa Rica	Cartago	9.73043	-83.80367	Yes	CENTAM
MVZ 207321	MVZ:Herp:207321	3306	N/A	MVZ207321_LCA	NA	Costa Rica	Guanacaste	10.93333	-85.45	No	CENTAM
MVZ 207327	MVZ:Herp:207327	3312	N/A	MVZ207327_LCA	NA	Costa Rica	Guanacaste	10.93333	-85.45	Yes	forreri, CENTAM
MVZ 263760	MVZ:Herp:263760	SMR 833	N/A	MVZ263760_LCA	NA	Nicaragua	Jinotega	13.15735	-85.82385	Yes	ATL_MXPL, CENTAM
MVZ 263761	MVZ:Herp:263761	SMR 820	N/A	MVZ263761_LCA	NA	Nicaragua	South Atlantic Autonomous Region	12.18779	-84.24668	Yes	ATL_MXPL, CENTAM
MVZ 263872	MVZ:Herp:263872	SMR 543	N/A	MVZ263872_LCA	R. macroglossa	Honduras	Ocotepeque	14.50393	-89.07652	No	ATL_MXPL, CENTAM
MVZ 263873	MVZ:Herp:263873	SMR 544	N/A	MVZ263873_LCA	R. macroglossa	Honduras	Ocotepeque	14.50393	-89.07652	Yes	ATL_MXPL, CENTAM
MVZ 264276	MVZ:Herp:264276	CRVA 1529	N/A	MVZ264276_LCA	R. macroglossa	Guatemala	El Progreso	14.99958	-89.960525	Yes	ATL_MXPL, CENTAM
MVZ 264277	MVZ:Herp:264277	CRVA 1564	N/A	MVZ264277_LCA	R. macroglossa	Guatemala	Zacapa	14.9842	-89.283935	Yes	ATL_MXPL, CENTAM
MVZ 264278	MVZ:Herp:264278	SMR 704	N/A	MVZ264278_LCA	R. macroglossa	Guatemala	Alta Verapaz	15.95351	-90.676453	Yes	ATL_MXPL, CENTAM
MVZ 265381	MVZ:Herp:265381	SMR 754	N/A	MVZ265381_LCA	R. macroglossa	Guatemala	Huehuetenango	16.00745	-91.725626	Yes	ATL_MXPL, CENTAM
MVZ 265653	MVZ:Herp:265653	SMR 1537	N/A	MVZ265653_LCA	R. macroglossa	Guatemala	El Quiche	15.45615	-90.834737	Yes	ATL_MXPL, CENTAM
MVZ 269988	MVZ:Herp:269988	CRVA 2859	N/A	MVZ269988_LCA	R. macroglossa	Guatemala	Izabal	15.40716	-88.71202	Yes	ATL_MXPL, CENTAM
MVZ 269989	MVZ:Herp:269989	SMR 1670	N/A	MVZ269989_LCA	NA	Guatemala	Jutiapa	14.40899	-89.78107	Yes	forreri, CENTAM
MVZ 269990	MVZ:Herp:269990	SMR 1680	N/A	MVZ269990_LCA	NA	Guatemala	Jutiapa	14.40899	-89.78107	Yes	forreri, CENTAM
MVZ 269991	MVZ:Herp:269991	SMR 1690	N/A	MVZ269991_LCA	NA	Guatemala	Jutiapa	14.40899	-89.78107	Yes	forreri, CENTAM
N/A	N/A	JHT 3720	N/A	MVZ3720_LCA	R. macroglossa	Honduras	Intibucá	14.509341	-88.145697	No	ATL_MXPL, CENTAM
N/A	N/A	N 1020	N/A	N1020_LCA	NA	Nicaragua	Jinotega	13.249898	-85.664605	No	ATL_MXPL, CENTAM
N/A	N/A	N 918	N/A	N918_LCA	R. forreri	Nicaragua	Jinotega	13.550396	-85.692188	Yes	forreri, ATL_MXPL, CENTAM
N/A	N/A	N 919	N/A	N919_LCA	NA	Nicaragua	Jinotega	13.550396	-85.692188	No	ATL_MXPL, CENTAM
N/A	N/A	N 997	N/A	N997_LCA	NA	Nicaragua	Jinotega	13.249898	-85.664605	No	ATL_MXPL, CENTAM
TNHC-GDC 1113	TNHC:Herpetology:1113	DMH 84-6	KU 200826	Rber_T1113a_JA17105	R. berlandieri	México	Tamaulipas	24.996396	-98.55895	Yes	ATL_MXPL
TNHC-GDC 1114	TNHC:Herpetology:1114	DMH 84-7	KU 200827	Rber_T1114_JA17105	R. berlandieri	México	Tamaulipas	24.996396	-98.55895	Yes	ATL_MXPL
TNHC-GDC 101225	TNHC:Herpetology:101225	DRD 2864	TNHC:Herpetology:101225	Rbla_D2864_JA17105	R. blairi	USA	South Dakota	NA	NA	Yes	NA
TNHC-GDC 101226	TNHC:Herpetology:101226	DRD 2865	TNHC:Herpetology:101226	Rbla_D2865_JA17105	R. blairi	USA	South Dakota	NA	NA	Yes	NA
TNHC-GDC 2034	TNHC:Herpetology:2034	JSF 1089	KU 194419	Rchi_T2034a_JA17105	R. fisheri	USA	Arizona	NA	NA	Yes	NA
TNHC-GDC 480	TNHC:Herpetology:480	JAC 10530	KU 200782	Rneo_T480_JA17105	R. neovolcanica	México	Jalisco	19.970442	-103.766837	Yes	ATL_MXPL
