Bioinformatics_ID	lat	long	dataset
TF8638_Rspe_CMX	16.34919	-95.33441	stringent
TF8639_Rspe_CMX	16.34919	-95.33441	stringent
TF8640_Rspe_CMX	16.34919	-95.33441	stringent
TF8641_Rspe_CMX	16.34919	-95.33441	stringent
TF8642_Rspe_CMX	16.34919	-95.33441	stringent
TF8643_Rspe_CMX	16.34919	-95.33441	stringent
TF8644_Rspe_CMX	16.34919	-95.33441	stringent
TF8645_Rspe_CMX	16.34919	-95.33441	stringent
TF8646_Rspe_CMX	16.35146	-95.26557	stringent
TF8647_Rspe_CMX	16.35146	-95.26557	stringent
TF8648_Rspe_CMX	16.35146	-95.26557	stringent
TF8649_Rspe_CMX	16.35146	-95.26557	stringent
TF8650_Rspe_CMX	16.35146	-95.26557	stringent
TF8651_Rspe_CMX	16.35146	-95.26557	stringent
TF8652_Rspe_CMX	16.35146	-95.26557	stringent
TF8653_Rspe_CMX	16.35146	-95.26557	stringent
TF8674_Rspe_CMX	16.97001	-96.1762	stringent
TF8675_Rspe_CMX	16.97001	-96.1762	stringent
TF8676_Rspe_CMX	16.97001	-96.1762	stringent
TF8678_Rspe_CMX	16.97001	-96.1762	stringent
TF8680_Rspe_CMX	16.97001	-96.1762	stringent
TF8681_Rspe_CMX	16.97001	-96.1762	stringent
TF8682_Rspe_CMX	16.97001	-96.1762	stringent
TF8683_Rspe_CMX	16.97001	-96.1762	stringent
TF8684_Rspe_CMX	16.93171	-96.4267	stringent
TF8685_Rspe_CMX	16.93171	-96.4267	stringent
TF8686_Rspe_CMX	16.93171	-96.4267	stringent
TF8687_Rspe_CMX	16.93171	-96.4267	stringent
TF8688_Rspe_CMX	16.93171	-96.4267	stringent
TF8689_Rspe_CMX	16.93171	-96.4267	stringent
TF8690_Rspe_CMX	16.93171	-96.4267	stringent
TF8691_Rspe_CMX	16.93171	-96.4267	stringent
TF8692_Rspe_CMX	16.93171	-96.4267	stringent
TF8694_Rspe_CMX	16.930365	-96.422524	stringent
TF8695_Rspe_CMX	16.52285	-96.98006	stringent
TF8696_Rspe_CMX	16.52285	-96.98006	stringent
TF8697_Rspe_CMX	16.52285	-96.98006	stringent
TF8698_Rspe_CMX	16.52285	-96.98006	stringent
TF8699_Rspe_CMX	16.52285	-96.98006	stringent
UTA60803_Rfor_PAC	16.7055	-98.77121	stringent
V11_PAC	21.80689	-105.204299	stringent
V12_PAC	21.80689	-105.204299	stringent
V13_PAC	21.80689	-105.204299	stringent
V1311_PAC	19.18286111	-103.6241667	stringent
V1312_PAC	19.18286111	-103.6241667	stringent
V14_PAC	21.80689	-105.204299	stringent
V15_PAC	21.80689	-105.204299	stringent
V16_PAC	21.80689	-105.204299	stringent
V2_PAC	22.128562	-105.204077	stringent
V2593_pap_PAC	17.17194444	-99.59027778	stringent
V2594_Rfor_PAC	17.17194444	-99.59027778	stringent
V2595_Rfor_PAC	17.16577778	-99.59055556	stringent
V2596_pap_PAC	17.16577778	-99.59055556	stringent
V2598_pap_PAC	17.16402778	-99.59166667	stringent
V2599_pap_PAC	17.16402778	-99.59166667	stringent
V2600_pap_PAC	17.16402778	-99.59166667	stringent
V2602_pap_PAC	17.12763889	-99.50666667	stringent
V2603_pap_PAC	17.17516667	-99.50611111	stringent
V2605_pap_PAC	17.17516667	-99.50611111	stringent
V2606_pap_PAC	17.10791667	-99.55722222	stringent
V2645_pap_PAC	16.881965	-99.81864	stringent
V2646_pap_PAC	16.881965	-99.81864	stringent
V2648_pap_PAC	16.881965	-99.81864	stringent
V2649_pap_PAC	16.881965	-99.81864	stringent
V2650_pap_PAC	17.08436111	-99.73	stringent
V2651_pap_PAC	17.08436111	-99.73	stringent
V2654_pap_PAC	17.08436111	-99.73	stringent
V2655_pap_PAC	17.08436111	-99.73	stringent
V2657_pap_PAC	17.08436111	-99.73	stringent
V2658_pap_PAC	17.08436111	-99.73	stringent
V2659_pap_PAC	17.08436111	-99.73	stringent
V2660_pap_PAC	17.08436111	-99.73	stringent
V2661_pap_PAC	17.08436111	-99.73	stringent
V2662_pap_PAC	17.08436111	-99.73	stringent
V2663_pap_PAC	17.08436111	-99.73	stringent
V2664_pap_PAC	17.08436111	-99.73	stringent
V2665_pap_PAC	17.08436111	-99.73	stringent
V2666_pap_PAC	17.08436111	-99.73	stringent
V2669_pap_PAC	17.08436111	-99.73	stringent
V2670_pap_PAC	17.08436111	-99.73	stringent
V2685_Rfor_PAC	16.55852778	-94.60472222	stringent
V2686_Rfor_PAC	16.55852778	-94.60472222	stringent
V2687_Rfor_PAC	16.55852778	-94.60472222	stringent
V2688_Rfor_PAC	16.55852778	-94.60472222	stringent
V2689_Rfor_PAC	16.55852778	-94.60472222	stringent
V2691_Rfor_PAC	16.48236111	-94.36166667	stringent
V2692_Rfor_PAC	16.04061111	-93.70555556	stringent
V2693_Rfor_PAC	16.04061111	-93.70555556	stringent
V2695_Rfor_PAC	15.578056	-93.048056	stringent
V2696_Rfor_PAC	16.04061111	-93.70555556	stringent
V2697_Rfor_PAC	15.37591667	-92.75972222	stringent
V2699_Rfor_PAC	15.578056	-93.048056	stringent
V2700_Rfor_PAC	15.578056	-93.048056	stringent
V2701_Rfor_PAC	15.37591667	-92.75972222	stringent
V2702_Rfor_PAC	15.37591667	-92.75972222	stringent
V2706_Rfor_PAC	15.37591667	-92.75972222	stringent
V2707_Rfor_PAC	15.37591667	-92.75972222	stringent
V2708_Rfor_PAC	15.37591667	-92.75972222	stringent
V2717_PAC	19.18305556	-103.6269444	stringent
V2718_PAC	19.18305556	-103.6269444	stringent
V2719_PAC	19.18305556	-103.6269444	stringent
V2720_PAC	19.18308333	-103.6269444	stringent
V2721_PAC	19.18305556	-103.6269444	stringent
V2722_PAC	19.18305556	-103.6269444	stringent
V2723_PAC	19.18308333	-103.6269444	stringent
V2724_PAC	19.18305556	-103.6269444	stringent
V2725_PAC	19.18308333	-103.6269444	stringent
V2726_PAC	19.18308333	-103.6269444	stringent
V2728_PAC	19.18305556	-103.6269444	stringent
V2729_PAC	19.18308333	-103.6269444	stringent
V2730_PAC	19.18308333	-103.6269444	stringent
V2747_PAC	NA	NA	stringent
V2749_PAC	NA	NA	stringent
V2763_PAC	21.62091667	-104.8166667	stringent
V2764_PAC	21.47547222	-104.6036111	stringent
V2778_PAC	21.47547222	-104.6036111	stringent
V2779_PAC	21.47547222	-104.6036111	stringent
V2780_PAC	21.47547222	-104.6036111	stringent
V2790_PAC	21.34022222	-104.6330556	stringent
V2791_PAC	21.34022222	-104.6330556	stringent
V2792_PAC	21.34022222	-104.6330556	stringent
V2793_PAC	21.34022222	-104.6330556	stringent
V2794_PAC	21.21691667	-104.7405556	stringent
V2795_PAC	21.36061111	-104.5486111	stringent
V2796_PAC	21.34022222	-104.6330556	stringent
V2797_PAC	NA	NA	stringent
V2798_PAC	21.21691667	-104.7405556	stringent
V2799_PAC	21.21288889	-104.7272222	stringent
V2800_PAC	21.21691667	-104.7405556	stringent
V2831_PAC	20.8225	-105.0938889	stringent
V2833_PAC	20.01633333	-105.2447222	stringent
V2906_PAC	20.00944444	-105.4508333	stringent
V2921_PAC	16.880338	-93.457134	stringent
V3_PAC	22.128562	-105.204077	stringent
V3072_PAC	16.89988889	-97.96722222	stringent
V3074_PAC	16.74897222	-97.99222222	stringent
V3077_PAC	16.60297222	-96.16	stringent
V3078_PAC	16.60297222	-96.16	stringent
V3079_PAC	16.60297222	-96.16	stringent
V3080_PAC	16.60297222	-96.16	stringent
V3081_PAC	16.60297222	-96.16	stringent
V4_PAC	22.128562	-105.204077	stringent
V6_PAC	22.128562	-105.204077	stringent
V7_PAC	22.388427	-105.452203	stringent
V8_PAC	22.388427	-105.452203	stringent
