Bioinformatics_ID	order_maxK	original_order	custom_order
V2761_PAC	188	207	184
V2763_PAC	189	208	185
V2764_PAC	190	209	186
V2779_PAC	191	211	187
V2780_PAC	192	212	188
V2790_PAC	193	214	189
V2791_PAC	194	215	190
V2793_PAC	195	217	191
V2795_PAC	196	219	192
V2796_PAC	197	220	193
V2792_PAC	198	216	194
V2778_PAC	199	210	195
T282_Atoy_CMX	183	27	196
T283_Atoy_CMX	184	28	197
T290_Atoy_CMX	185	29	198
V2786_PAC	116	213	199
T2025_PAC	200	24	200
T2022_Aten_PAC	201	22	201
T2020_Aten_PAC	202	21	202
T2024_PAC	203	23	203
T3618_PAC	208	37	204
T3629_PAC	209	38	205
T3661_PAC	210	39	206
T3670_PAC	212	41	207
T3678_CMX	213	42	208
T3689_PAC	215	47	209
T3695_PAC	217	49	210
T3776_CMX	219	51	211
T3791_CMX	223	55	212
V2921_PAC	239	229	213
T14182_PAC	243	3	214
T3681_CMX	245	43	215
T14204_PAC	204	8	216
T14224_PAC	205	9	217
T3663_PAC	211	40	218
T3688_PAC	214	46	219
T3693_PAC	216	48	220
T3698_PAC	218	50	221
T3786_PAC	222	54	222
T3800_CMX	224	56	223
T3809_PAC	225	59	224
T3807_CMX	237	58	225
T3686_PAC	238	45	226
T3683_PAC	240	44	227
T3805_CMX	241	57	228
T3611_PAC	206	35	229
T3616_PAC	207	36	230
T3778_PAC	220	52	231
T3782_PAC	221	53	232
T403_Rber_CMX	226	61	233
TF8635_Rspe_CMX	227	90	234
TF8636_Rspe_CMX	228	91	235
TF8638_Rspe_CMX	229	93	236
TF8639_Rspe_CMX	230	94	237
TF8641_Rspe_CMX	231	96	238
TF8642_Rspe_CMX	232	97	239
TF8643_Rspe_CMX	233	98	240
TF8645_Rspe_CMX	234	100	241
TF8646_Rspe_CMX	235	101	242
V2747_PAC	236	205	243
TF8640_Rspe_CMX	242	95	244
V2749_PAC	244	206	245
