Bioinformatics_ID	dataset	lat	long
TF7102_Rspe_CMX	stringent	16.52285	-96.98006
TF7103_Rspe_CMX	stringent	16.52285	-96.98006
TF7133_Rspe_CMX	stringent	16.94697	-96.8151
TF7134_Rspe_CMX	stringent	16.94697	-96.8151
TF7135_Rspe_CMX	stringent	16.94697	-96.8151
TF7136_Rspe_CMX	stringent	16.94697	-96.8151
TF7137_Rspe_CMX	stringent	16.94697	-96.8151
TF7138_Rspe_CMX	stringent	16.94697	-96.8151
TF7139_Rspe_CMX	stringent	16.94697	-96.8151
TF7140_Rspe_CMX	relaxed	16.94697	-96.8151
TF7141_Rspe_CMX	stringent	16.94697	-96.8151
TF7142_Rspe_CMX	stringent	16.94697	-96.8151
TF8500_Rspe_CMX	stringent	20.18152	-98.74732
TF8501_Rspe_CMX	stringent	20.18152	-98.74732
TF8502_Rspe_CMX	stringent	20.18152	-98.74732
TF8503_Rspe_CMX	stringent	20.18152	-98.74732
TF8505_Rspe_CMX	stringent	20.18152	-98.74732
TF8509_Rspe_CMX	stringent	20.1518	-98.67848
TF8519_Rspe_CMX	stringent	20.15295	-98.67859
TF8536_Rber_CMX	stringent	20.53003	-98.64086
TF8549_Rber_CMX	stringent	20.53003	-98.64086
TF8554_Rber_CMX	stringent	20.574277	-98.625035
TF8560_Rber_CMX	stringent	20.574277	-98.625035
TF8561_Rber_CMX	stringent	20.808497	-98.747011
TF8572_Rber_CMX	stringent	20.808497	-98.747011
TF8581_Rber_CMX	stringent	20.87704	-98.6577
TF8588_Rber_CMX	stringent	20.87704	-98.6577
TF8590_Rber_CMX	stringent	20.898748	-98.601877
TF8597_Rber_CMX	stringent	20.898748	-98.601877
TF8599_Rber_CMX	stringent	20.9894	-98.37048
TF8601_Rber_CMX	stringent	20.9894	-98.37048
TF8607_Rber_CMX	stringent	21.00839	-98.34592
TF8613_Rber_CMX	stringent	21.00839	-98.34592
TF8635_Rspe_CMX	stringent	16.34919	-95.33441
TF8636_Rspe_CMX	stringent	16.34919	-95.33441
TF8637_Rspe_CMX	stringent	16.34919	-95.33441
TF8638_Rspe_CMX	stringent	16.34919	-95.33441
TF8639_Rspe_CMX	stringent	16.34919	-95.33441
TF8640_Rspe_CMX	stringent	16.34919	-95.33441
TF8641_Rspe_CMX	stringent	16.34919	-95.33441
TF8642_Rspe_CMX	stringent	16.34919	-95.33441
TF8643_Rspe_CMX	stringent	16.34919	-95.33441
TF8644_Rspe_CMX	stringent	16.34919	-95.33441
TF8645_Rspe_CMX	stringent	16.34919	-95.33441
TF8646_Rspe_CMX	stringent	16.35146	-95.26557
TF8647_Rspe_CMX	stringent	16.35146	-95.26557
TF8648_Rspe_CMX	stringent	16.35146	-95.26557
TF8649_Rspe_CMX	stringent	16.35146	-95.26557
TF8650_Rspe_CMX	stringent	16.35146	-95.26557
TF8651_Rspe_CMX	stringent	16.35146	-95.26557
TF8652_Rspe_CMX	stringent	16.35146	-95.26557
TF8653_Rspe_CMX	stringent	16.35146	-95.26557
TF8674_Rspe_CMX	stringent	16.97001	-96.1762
TF8675_Rspe_CMX	stringent	16.97001	-96.1762
TF8676_Rspe_CMX	stringent	16.97001	-96.1762
TF8677_Rspe_CMX	remove	16.97001	-96.1762
TF8678_Rspe_CMX	stringent	16.97001	-96.1762
TF8679_Rspe_CMX	remove	16.97001	-96.1762
TF8680_Rspe_CMX	stringent	16.97001	-96.1762
TF8681_Rspe_CMX	stringent	16.97001	-96.1762
TF8682_Rspe_CMX	stringent	16.97001	-96.1762
TF8683_Rspe_CMX	stringent	16.97001	-96.1762
TF8684_Rspe_CMX	stringent	16.93171	-96.4267
TF8685_Rspe_CMX	stringent	16.93171	-96.4267
TF8686_Rspe_CMX	stringent	16.93171	-96.4267
TF8687_Rspe_CMX	stringent	16.93171	-96.4267
TF8688_Rspe_CMX	stringent	16.93171	-96.4267
TF8689_Rspe_CMX	stringent	16.93171	-96.4267
TF8690_Rspe_CMX	stringent	16.93171	-96.4267
TF8691_Rspe_CMX	stringent	16.93171	-96.4267
TF8692_Rspe_CMX	stringent	16.93171	-96.4267
TF8694_Rspe_CMX	stringent	16.930365	-96.422524
TF8695_Rspe_CMX	stringent	16.52285	-96.98006
TF8696_Rspe_CMX	stringent	16.52285	-96.98006
TF8697_Rspe_CMX	stringent	16.52285	-96.98006
TF8698_Rspe_CMX	stringent	16.52285	-96.98006
TF8699_Rspe_CMX	stringent	16.52285	-96.98006
UTA56347_Rspe_CMX	stringent	18.312	-97.51
